Gene Set,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,nGenes
O_GLYCAN_BIOSYNTHESIS,KEGG_O_GLYCAN_BIOSYNTHESIS,'5/274,'17/2602,0.026667081069733492,0.3525742287540566,0.3247394212208416,ENSG00000187210/ENSG00000115339/ENSG00000139629/ENSG00000109586/ENSG00000257594,5
PANCREATIC_CANCER,KEGG_PANCREATIC_CANCER,'10/274,'49/2602,0.028291641609850152,0.3525742287540566,0.3247394212208416,ENSG00000166949/ENSG00000141506/ENSG00000162434/ENSG00000139687/ENSG00000115415/ENSG00000163513/ENSG00000105851/ENSG00000007968/ENSG00000163235/ENSG00000119699,10
TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,'10/274,'50/2602,0.03219485596778742,0.3525742287540566,0.3247394212208416,ENSG00000169429/ENSG00000141506/ENSG00000137462/ENSG00000115415/ENSG00000101017/ENSG00000159110/ENSG00000143387/ENSG00000105851/ENSG00000196664/ENSG00000185386,10
CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,'16/274,'94/2602,0.03358316109085891,0.3525742287540566,0.3247394212208416,ENSG00000120899/ENSG00000069966/ENSG00000173578/ENSG00000160293/ENSG00000000938/ENSG00000134516/ENSG00000180871/ENSG00000169429/ENSG00000141506/ENSG00000115415/ENSG00000142875/ENSG00000161921/ENSG00000166501/ENSG00000105851/ENSG00000105639/ENSG00000163932,16
TGF_BETA_SIGNALING_PATHWAY,KEGG_TGF_BETA_SIGNALING_PATHWAY,'10/274,'51/2602,0.03646245787301739,0.3525742287540566,0.3247394212208416,ENSG00000183691/ENSG00000186340/ENSG00000166949/ENSG00000137801/ENSG00000011465/ENSG00000121989/ENSG00000169231/ENSG00000163513/ENSG00000049323/ENSG00000119699,10
HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,'9/274,'45/2602,0.0411411999117954,0.3525742287540566,0.3247394212208416,ENSG00000140416/ENSG00000137809/ENSG00000198467/ENSG00000075624/ENSG00000175084/ENSG00000115221/ENSG00000164171/ENSG00000183023/ENSG00000119699,9
ASTHMA,KEGG_ASTHMA,'3/274,'8/2602,0.04329502430967443,0.3525742287540566,0.3247394212208416,ENSG00000186652/ENSG00000101017/ENSG00000158869,3
HEDGEHOG_SIGNALING_PATHWAY,KEGG_HEDGEHOG_SIGNALING_PATHWAY,'6/274,'26/2602,0.04855025710578477,0.3525742287540566,0.3247394212208416,ENSG00000180447/ENSG00000142875/ENSG00000085741/ENSG00000162552/ENSG00000112210/ENSG00000105989,6
REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,'21/274,'138/2602,0.049552153534979354,0.3525742287540566,0.3247394212208416,ENSG00000115414/ENSG00000140678/ENSG00000160293/ENSG00000137809/ENSG00000141506/ENSG00000181104/ENSG00000184984/ENSG00000101335/ENSG00000075624/ENSG00000077782/ENSG00000072110/ENSG00000115221/ENSG00000005844/ENSG00000035403/ENSG00000105357/ENSG00000147065/ENSG00000164171/ENSG00000105851/ENSG00000141298/ENSG00000145431/ENSG00000197461,21
PRIMARY_IMMUNODEFICIENCY,KEGG_PRIMARY_IMMUNODEFICIENCY,'4/274,'14/2602,0.05142671373543083,0.3525742287540566,0.3247394212208416,ENSG00000168685/ENSG00000101017/ENSG00000147168/ENSG00000105639,4
ADHERENS_JUNCTION,KEGG_ADHERENS_JUNCTION,'9/274,'47/2602,0.052566350403701514,0.3525742287540566,0.3247394212208416,ENSG00000166949/ENSG00000075624/ENSG00000148737/ENSG00000077782/ENSG00000072110/ENSG00000035403/ENSG00000197122/ENSG00000010810/ENSG00000163513,9
APOPTOSIS,KEGG_APOPTOSIS,'9/274,'48/2602,0.05898831086149068,0.3525742287540566,0.3247394212208416,ENSG00000162909/ENSG00000141506/ENSG00000121858/ENSG00000167136/ENSG00000142875/ENSG00000138814/ENSG00000105851/ENSG00000026103/ENSG00000173530,9
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,'8/274,'41/2602,0.05981533872366223,0.3525742287540566,0.3247394212208416,ENSG00000137809/ENSG00000075624/ENSG00000148737/ENSG00000072110/ENSG00000175084/ENSG00000115221/ENSG00000164171/ENSG00000183023,8
PHENYLALANINE_METABOLISM,KEGG_PHENYLALANINE_METABOLISM,'3/274,'9/2602,0.060005434679714545,0.3525742287540566,0.3247394212208416,ENSG00000006534/ENSG00000131471/ENSG00000069535,3
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,'14/274,'86/2602,0.0622690931258192,0.3525742287540566,0.3247394212208416,ENSG00000171049/ENSG00000181104/ENSG00000184984/ENSG00000187474/ENSG00000108405/ENSG00000197405/ENSG00000181631/ENSG00000064989/ENSG00000106018/ENSG00000170425/ENSG00000171517/ENSG00000151090/ENSG00000160801/ENSG00000089041,14
STEROID_HORMONE_BIOSYNTHESIS,KEGG_STEROID_HORMONE_BIOSYNTHESIS,'4/274,'15/2602,0.06451968654733495,0.3525742287540566,0.3247394212208416,ENSG00000025423/ENSG00000117594/ENSG00000138061/ENSG00000203859,4
PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,'29/274,'209/2602,0.06728936723634367,0.3525742287540566,0.3247394212208416,ENSG00000129521/ENSG00000115414/ENSG00000166949/ENSG00000197565/ENSG00000169429/ENSG00000141506/ENSG00000053747/ENSG00000162434/ENSG00000139687/ENSG00000100985/ENSG00000148737/ENSG00000077782/ENSG00000115415/ENSG00000087245/ENSG00000085741/ENSG00000166501/ENSG00000058085/ENSG00000163513/ENSG00000164171/ENSG00000105851/ENSG00000162552/ENSG00000007968/ENSG00000163235/ENSG00000110395/ENSG00000119699/ENSG00000197461/ENSG00000105989/ENSG00000187098/ENSG00000026103,29
GLIOMA,KEGG_GLIOMA,'8/274,'42/2602,0.06745155894735488,0.3525742287540566,0.3247394212208416,ENSG00000141506/ENSG00000145349/ENSG00000139687/ENSG00000166501/ENSG00000105851/ENSG00000007968/ENSG00000163235/ENSG00000197461,8
MELANOGENESIS,KEGG_MELANOGENESIS,'10/274,'57/2602,0.07039798554026236,0.3525742287540566,0.3247394212208416,ENSG00000145349/ENSG00000148737/ENSG00000142875/ENSG00000085741/ENSG00000166501/ENSG00000078401/ENSG00000162552/ENSG00000157613/ENSG00000105989/ENSG00000187098,10
ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,'6/274,'29/2602,0.0768543000357397,0.3525742287540566,0.3247394212208416,ENSG00000141506/ENSG00000166501/ENSG00000105851/ENSG00000117594/ENSG00000143153/ENSG00000169047,6
VIRAL_MYOCARDITIS,KEGG_VIRAL_MYOCARDITIS,'7/274,'36/2602,0.07709259532731409,0.3525742287540566,0.3247394212208416,ENSG00000075624/ENSG00000133392/ENSG00000005844/ENSG00000101017/ENSG00000010810/ENSG00000105974/ENSG00000105357,7
PROSTATE_CANCER,KEGG_PROSTATE_CANCER,'10/274,'58/2602,0.0775240420305535,0.3525742287540566,0.3247394212208416,ENSG00000141506/ENSG00000139687/ENSG00000148737/ENSG00000077782/ENSG00000105851/ENSG00000007968/ENSG00000163235/ENSG00000157613/ENSG00000145431/ENSG00000197461,10
GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,'4/274,'16/2602,0.07917779343039535,0.3525742287540566,0.3247394212208416,ENSG00000179761/ENSG00000131471/ENSG00000158578/ENSG00000069535,4
HISTIDINE_METABOLISM,KEGG_HISTIDINE_METABOLISM,'4/274,'16/2602,0.07917779343039535,0.3525742287540566,0.3247394212208416,ENSG00000137124/ENSG00000006534/ENSG00000150540/ENSG00000069535,4
GAP_JUNCTION,KEGG_GAP_JUNCTION,'9/274,'51/2602,0.0811848553052104,0.3525742287540566,0.3247394212208416,ENSG00000137267/ENSG00000176014/ENSG00000142875/ENSG00000197122/ENSG00000166501/ENSG00000145431/ENSG00000096433/ENSG00000197461/ENSG00000101162,9
MELANOMA,KEGG_MELANOMA,'8/274,'44/2602,0.08445134367052033,0.35305947957585826,0.3251863627672379,ENSG00000141506/ENSG00000139687/ENSG00000077782/ENSG00000105851/ENSG00000007968/ENSG00000145431/ENSG00000197461/ENSG00000187098,8
ARGININE_AND_PROLINE_METABOLISM,KEGG_ARGININE_AND_PROLINE_METABOLISM,'7/274,'37/2602,0.08694524597209455,0.35305947957585826,0.3251863627672379,ENSG00000137124/ENSG00000183010/ENSG00000115758/ENSG00000166165/ENSG00000072682/ENSG00000149380/ENSG00000069535,7
ASCORBATE_AND_ALDARATE_METABOLISM,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,'2/274,'5/2602,0.08915915115881265,0.35305947957585826,0.3251863627672379,ENSG00000109814/ENSG00000137124,2
WNT_SIGNALING_PATHWAY,KEGG_WNT_SIGNALING_PATHWAY,'13/274,'83/2602,0.09058762962801627,0.35305947957585826,0.3251863627672379,ENSG00000104332/ENSG00000166949/ENSG00000145349/ENSG00000148737/ENSG00000142875/ENSG00000085741/ENSG00000166501/ENSG00000138814/ENSG00000118971/ENSG00000162552/ENSG00000107984/ENSG00000173218/ENSG00000105989,13
FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,'4/274,'17/2602,0.0953349356952144,0.36227275564181466,0.3336722749332504,ENSG00000140263/ENSG00000067057/ENSG00000170525/ENSG00000160883,4
SMALL_CELL_LUNG_CANCER,KEGG_SMALL_CELL_LUNG_CANCER,'9/274,'53/2602,0.09845601980396072,0.3650076831756593,0.33619128713547564,ENSG00000115414/ENSG00000197565/ENSG00000141506/ENSG00000053747/ENSG00000139687/ENSG00000058085/ENSG00000164171/ENSG00000105851/ENSG00000007968,9
BLADDER_CANCER,KEGG_BLADDER_CANCER,'6/274,'32/2602,0.11275280831450746,0.38815840489628217,0.3575143202992073,ENSG00000137801/ENSG00000169429/ENSG00000139687/ENSG00000100985/ENSG00000087245/ENSG00000007968,6
NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,'6/274,'32/2602,0.11275280831450746,0.38815840489628217,0.3575143202992073,ENSG00000169429/ENSG00000167207/ENSG00000162711/ENSG00000103313/ENSG00000091106/ENSG00000185386,6
CHRONIC_MYELOID_LEUKEMIA,KEGG_CHRONIC_MYELOID_LEUKEMIA,'8/274,'47/2602,0.11425097059036049,0.38815840489628217,0.3575143202992073,ENSG00000166949/ENSG00000141506/ENSG00000139687/ENSG00000163513/ENSG00000105851/ENSG00000007968/ENSG00000110395/ENSG00000119699,8
TYPE_II_DIABETES_MELLITUS,KEGG_TYPE_II_DIABETES_MELLITUS,'5/274,'25/2602,0.11491531723903091,0.38815840489628217,0.3575143202992073,ENSG00000141506/ENSG00000160883/ENSG00000105851/ENSG00000163932/ENSG00000169047,5
FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,'8/274,'48/2602,0.12530350253613437,0.41404635620635705,0.3813584859795394,ENSG00000160293/ENSG00000141506/ENSG00000166501/ENSG00000010810/ENSG00000158869/ENSG00000105851/ENSG00000185386/ENSG00000163932,8
JAK_STAT_SIGNALING_PATHWAY,KEGG_JAK_STAT_SIGNALING_PATHWAY,'12/274,'80/2602,0.1293312395238332,0.41732306816647413,0.38437651015333146,ENSG00000100385/ENSG00000141506/ENSG00000162434/ENSG00000168685/ENSG00000115415/ENSG00000159110/ENSG00000118971/ENSG00000134352/ENSG00000105851/ENSG00000147168/ENSG00000110395/ENSG00000105639,12
STARCH_AND_SUCROSE_METABOLISM,KEGG_STARCH_AND_SUCROSE_METABOLISM,'4/274,'19/2602,0.13178623205257078,0.41732306816647413,0.38437651015333146,ENSG00000109814/ENSG00000160883/ENSG00000104812/ENSG00000257335,4
GNRH_SIGNALING_PATHWAY,KEGG_GNRH_SIGNALING_PATHWAY,'9/274,'59/2602,0.16179848185019938,0.49496508809161527,0.45588889692648776,ENSG00000120899/ENSG00000145349/ENSG00000087245/ENSG00000142875/ENSG00000197122/ENSG00000166501/ENSG00000096433/ENSG00000185386/ENSG00000163932,9
TASTE_TRANSDUCTION,KEGG_TASTE_TRANSDUCTION,'2/274,'7/2602,0.16281746318803134,0.49496508809161527,0.45588889692648776,ENSG00000142875/ENSG00000096433,2
NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,'6/274,'36/2602,0.171428048888906,0.496192858930923,0.4570197384890081,ENSG00000141506/ENSG00000139687/ENSG00000166501/ENSG00000105851/ENSG00000007968/ENSG00000163235,6
DRUG_METABOLISM_CYTOCHROME_P450,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,'4/274,'21/2602,0.1730146152851245,0.496192858930923,0.4570197384890081,ENSG00000006534/ENSG00000065621/ENSG00000008394/ENSG00000069535,4
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,'4/274,'21/2602,0.1730146152851245,0.496192858930923,0.4570197384890081,ENSG00000006534/ENSG00000065621/ENSG00000008394/ENSG00000138061,4
RETINOL_METABOLISM,KEGG_RETINOL_METABOLISM,'3/274,'14/2602,0.1764621884114744,0.4967083821952613,0.45749456254826704,ENSG00000003137/ENSG00000128918/ENSG00000165092,3
COLORECTAL_CANCER,KEGG_COLORECTAL_CANCER,'6/274,'38/2602,0.20471058378918158,0.5657456133810109,0.5210814860088259,ENSG00000166949/ENSG00000141506/ENSG00000148737/ENSG00000163513/ENSG00000105851/ENSG00000119699,6
P53_SIGNALING_PATHWAY,KEGG_P53_SIGNALING_PATHWAY,'7/274,'47/2602,0.22001583621377785,0.5891701141426151,0.5426566840787246,ENSG00000137801/ENSG00000138764/ENSG00000116717/ENSG00000118971/ENSG00000146674/ENSG00000085117/ENSG00000026103,7
TIGHT_JUNCTION,KEGG_TIGHT_JUNCTION,'10/274,'72/2602,0.2209387928034807,0.5891701141426151,0.5426566840787246,ENSG00000164007/ENSG00000159023/ENSG00000101335/ENSG00000075624/ENSG00000133392/ENSG00000072110/ENSG00000197122/ENSG00000166501/ENSG00000105357/ENSG00000163932,10
GALACTOSE_METABOLISM,KEGG_GALACTOSE_METABOLISM,'3/274,'17/2602,0.26293228251439005,0.6558008820197553,0.6040271281760905,ENSG00000067057/ENSG00000160883/ENSG00000257335,3
TYROSINE_METABOLISM,KEGG_TYROSINE_METABOLISM,'3/274,'17/2602,0.26293228251439005,0.6558008820197553,0.6040271281760905,ENSG00000006534/ENSG00000131471/ENSG00000069535,3
VASOPRESSIN_REGULATED_WATER_REABSORPTION,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,'3/274,'17/2602,0.26293228251439005,0.6558008820197553,0.6040271281760905,ENSG00000142875/ENSG00000111348/ENSG00000157613,3
GLYCOLYSIS_GLUCONEOGENESIS,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,'5/274,'33/2602,0.2631832487052965,0.6558008820197553,0.6040271281760905,ENSG00000137124/ENSG00000006534/ENSG00000067057/ENSG00000160883/ENSG00000143891,5
HEMATOPOIETIC_CELL_LINEAGE,KEGG_HEMATOPOIETIC_CELL_LINEAGE,'6/274,'42/2602,0.2771623471294736,0.6678477395291181,0.6151229179873456,ENSG00000115590/ENSG00000010278/ENSG00000168685/ENSG00000164171/ENSG00000166825/ENSG00000203710,6
PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,'5/274,'34/2602,0.2843082928877699,0.6678477395291181,0.6151229179873456,ENSG00000137267/ENSG00000075624/ENSG00000176014/ENSG00000010810/ENSG00000101162,5
PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,'2/274,'10/2602,0.2844590825607338,0.6678477395291181,0.6151229179873456,ENSG00000060982/ENSG00000112303,2
MAPK_SIGNALING_PATHWAY,KEGG_MAPK_SIGNALING_PATHWAY,'19/274,'157/2602,0.2911941599442874,0.6678477395291181,0.6151229179873456,ENSG00000115590/ENSG00000113319/ENSG00000196924/ENSG00000136068/ENSG00000116717/ENSG00000077782/ENSG00000142875/ENSG00000166501/ENSG00000138814/ENSG00000197442/ENSG00000163513/ENSG00000164086/ENSG00000143507/ENSG00000128591/ENSG00000119699/ENSG00000197461/ENSG00000026103/ENSG00000185386/ENSG00000126803,19
B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,'6/274,'43/2602,0.2961788571749863,0.6678477395291181,0.6151229179873456,ENSG00000160293/ENSG00000141506/ENSG00000166501/ENSG00000138814/ENSG00000070190/ENSG00000105851,6
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,'9/274,'69/2602,0.29877398873671074,0.6678477395291181,0.6151229179873456,ENSG00000088280/ENSG00000160293/ENSG00000151693/ENSG00000134516/ENSG00000141506/ENSG00000166501/ENSG00000105851/ENSG00000203747/ENSG00000163932,9
NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,'9/274,'69/2602,0.29877398873671074,0.6678477395291181,0.6151229179873456,ENSG00000141506/ENSG00000145349/ENSG00000111348/ENSG00000197442/ENSG00000105851/ENSG00000111252/ENSG00000185386/ENSG00000163932/ENSG00000169047,9
T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,'7/274,'53/2602,0.32187736498009484,0.6725089071467455,0.619416098687792,ENSG00000160293/ENSG00000141506/ENSG00000138814/ENSG00000010810/ENSG00000105851/ENSG00000110395/ENSG00000185386,7
BETA_ALANINE_METABOLISM,KEGG_BETA_ALANINE_METABOLISM,'2/274,'11/2602,0.32527673343648955,0.6725089071467455,0.619416098687792,ENSG00000137124/ENSG00000131471,2
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,'2/274,'11/2602,0.32527673343648955,0.6725089071467455,0.619416098687792,ENSG00000156966/ENSG00000175040,2
NITROGEN_METABOLISM,KEGG_NITROGEN_METABOLISM,'2/274,'11/2602,0.32527673343648955,0.6725089071467455,0.619416098687792,ENSG00000133742/ENSG00000074410,2
SELENOAMINO_ACID_METABOLISM,KEGG_SELENOAMINO_ACID_METABOLISM,'2/274,'11/2602,0.32527673343648955,0.6725089071467455,0.619416098687792,ENSG00000138801/ENSG00000099998,2
GLUTATHIONE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM,'5/274,'36/2602,0.32740565216354717,0.6725089071467455,0.619416098687792,ENSG00000115758/ENSG00000065621/ENSG00000166825/ENSG00000008394/ENSG00000099998,5
ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,'7/274,'54/2602,0.33968934503023457,0.6802675220981861,0.626562191406224,ENSG00000141506/ENSG00000145349/ENSG00000197122/ENSG00000166501/ENSG00000105851/ENSG00000163235/ENSG00000110395,7
GLYCEROLIPID_METABOLISM,KEGG_GLYCEROLIPID_METABOLISM,'4/274,'28/2602,0.34013376104909304,0.6802675220981861,0.626562191406224,ENSG00000137124/ENSG00000198814/ENSG00000143797/ENSG00000186281,4
LONG_TERM_POTENTIATION,KEGG_LONG_TERM_POTENTIATION,'5/274,'37/2602,0.34922222919990265,0.6893737511478598,0.6349495076361867,ENSG00000145349/ENSG00000142875/ENSG00000166501/ENSG00000138814/ENSG00000096433,5
ALLOGRAFT_REJECTION,KEGG_ALLOGRAFT_REJECTION,'2/274,'12/2602,0.3654626638181818,0.7121836525687646,0.6559586273659674,ENSG00000101017/ENSG00000026103,2
CELL_ADHESION_MOLECULES_CAMS,KEGG_CELL_ADHESION_MOLECULES_CAMS,'10/274,'83/2602,0.3754786099522024,0.7224398571232249,0.6654051315608651,ENSG00000164007/ENSG00000188404/ENSG00000170017/ENSG00000005844/ENSG00000101017/ENSG00000169439/ENSG00000073008/ENSG00000162692/ENSG00000021645/ENSG00000162706,10
INSULIN_SIGNALING_PATHWAY,KEGG_INSULIN_SIGNALING_PATHWAY,'9/274,'75/2602,0.39176536008112345,0.7391529512508446,0.6807987708889358,ENSG00000141506/ENSG00000160883/ENSG00000142875/ENSG00000104812/ENSG00000119938/ENSG00000105851/ENSG00000110395/ENSG00000067177/ENSG00000169047,9
VEGF_SIGNALING_PATHWAY,KEGG_VEGF_SIGNALING_PATHWAY,'6/274,'48/2602,0.3938907174428843,0.7391529512508446,0.6807987708889358,ENSG00000141506/ENSG00000197122/ENSG00000166501/ENSG00000138814/ENSG00000105851/ENSG00000185386,6
AUTOIMMUNE_THYROID_DISEASE,KEGG_AUTOIMMUNE_THYROID_DISEASE,'2/274,'13/2602,0.4046978986197667,0.7501717145146894,0.6909476317898456,ENSG00000101017/ENSG00000026103,2
TRYPTOPHAN_METABOLISM,KEGG_TRYPTOPHAN_METABOLISM,'3/274,'22/2602,0.4131791477425345,0.7561354147806886,0.6964405136137922,ENSG00000137124/ENSG00000069535/ENSG00000138061,3
PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,'1/274,'5/2602,0.4269642304529183,0.7561354147806886,0.6964405136137922,ENSG00000109814,1
TAURINE_AND_HYPOTAURINE_METABOLISM,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,'1/274,'5/2602,0.4269642304529183,0.7561354147806886,0.6964405136137922,ENSG00000099998,1
BASAL_CELL_CARCINOMA,KEGG_BASAL_CELL_CARCINOMA,'4/274,'32/2602,0.4398203886198251,0.7561354147806886,0.6964405136137922,ENSG00000148737/ENSG00000085741/ENSG00000162552/ENSG00000105989,4
LYSINE_DEGRADATION,KEGG_LYSINE_DEGRADATION,'3/274,'23/2602,0.44245378149397574,0.7561354147806886,0.6964405136137922,ENSG00000179761/ENSG00000137124/ENSG00000152952,3
