gene_id,module,Connectivity.kTotal,Connectivity.kWithin,gene_name,gene_biotype,chromosome,length,entrezgene
ENSG00000197146,brown,568.3285756493394,0.828479165754414,AL133458.1,pseudogene,6,2299,NA
ENSG00000130779,blue,96.932017317836,0.827891699352629,CLIP1,protein_coding,12,151201,6249
ENSG00000122694,turquoise,60.56710395215973,0.8275707114474007,GLIPR2,protein_coding,9,27179,152007
ENSG00000069869,brown,663.2283626399195,0.8273095986859683,NEDD4,protein_coding,15,166825,4734
ENSG00000204794,brown,528.7448529772072,0.8263009616481826,PGM5P1,pseudogene,9,68673,NA
ENSG00000111667,black,639.2584047795366,0.825665490570914,USP5,protein_coding,12,14505,8078
ENSG00000145725,brown,597.271437305755,0.8250513399602849,PPIP5K2,protein_coding,5,92648,23262
ENSG00000256018,salmon,148.53905400351786,0.824632229456259,HIST1H3G,protein_coding,6,467,NA
ENSG00000143570,black,645.4635883295992,0.8240121941162968,SLC39A1,protein_coding,1,8614,27173
ENSG00000217120,brown,581.1191335306198,0.8235793290775586,RP1-76C18.1,pseudogene,6,1384,NA
ENSG00000113441,blue,86.62085518531296,0.8230003418702522,LNPEP,protein_coding,5,102122,4012
ENSG00000145715,blue,89.2298875097471,0.8224098909839938,RASA1,protein_coding,5,124044,5921
ENSG00000115414,turquoise,35.5122485572016,0.8223240391786508,FN1,protein_coding,2,75733,2335
ENSG00000108848,brown,649.069672311287,0.8210853547410858,LUC7L3,protein_coding,17,36670,51747
ENSG00000122417,brown,645.727823856703,0.8191874398339322,ODF2L,protein_coding,1,47680,57489
ENSG00000132128,black,620.4525777059127,0.8191538385512069,LRRC41,protein_coding,1,42413,10489
ENSG00000196787,salmon,133.29726529057461,0.8190306016782402,HIST1H2AG,protein_coding,6,2239,NA
ENSG00000142507,black,632.7208266140314,0.8185786026720919,PSMB6,protein_coding,17,2352,5694
ENSG00000116688,black,608.8572361260051,0.8170255827988399,MFN2,protein_coding,1,33334,9927
ENSG00000173200,brown,550.4464174993705,0.8157455437379139,PARP15,protein_coding,3,61446,165631
ENSG00000112902,turquoise,38.62337539957742,0.8156161753044618,SEMA5A,protein_coding,5,511050,9037
ENSG00000117419,black,667.7773977460878,0.8152999892021152,ERI3,protein_coding,1,134191,79033
ENSG00000205542,green,123.92018803837416,0.8147651059456963,TMSB4X,protein_coding,X,2120,7114
ENSG00000103363,black,687.2470598073546,0.8145858951800925,TCEB2,protein_coding,16,5884,NA
ENSG00000251209,brown,582.3017599928116,0.8127172312633272,LINC00923,protein_coding,15,132333,91948
ENSG00000141665,brown,585.7984212391669,0.8118938416485239,FBXO15,protein_coding,18,74513,201456
ENSG00000117362,black,711.7527073179679,0.8118303617902245,APH1A,protein_coding,1,4177,51107
ENSG00000132424,brown,648.4171025983107,0.809589226842771,PNISR,protein_coding,6,27281,25957
ENSG00000111615,greenyellow,198.88376736951832,0.8092664037556406,KRR1,protein_coding,12,14733,11103
ENSG00000132915,brown,602.2712197584169,0.8087570719252636,PDE6A,protein_coding,5,86838,5145
ENSG00000196263,brown,636.8948495694939,0.8087507114567393,ZNF471,protein_coding,19,22379,57573
ENSG00000080802,greenyellow,357.17555075111494,0.8078172067647247,CNOT4,protein_coding,7,148329,4850
ENSG00000179632,black,655.526598411438,0.8072503486493365,MAF1,protein_coding,8,3113,84232
ENSG00000161671,black,614.7096528340102,0.8049326876236875,EMC10,protein_coding,19,6952,284361
ENSG00000137804,pink,24.30405839461528,0.80385528873404,NUSAP1,protein_coding,15,48357,51203
ENSG00000023191,black,658.4776178666806,0.8038232891276743,RNH1,protein_coding,11,12789,6050
ENSG00000115216,black,641.638814885785,0.8026518015599725,NRBP1,protein_coding,2,14470,29959
ENSG00000189143,black,624.0924793759248,0.8024307360323428,CLDN4,protein_coding,7,33143,1364
ENSG00000139496,blue,83.83830930706324,0.802382745234526,NUPL1,protein_coding,13,48277,NA
ENSG00000169217,black,646.6995264187403,0.8010138170619309,CD2BP2,protein_coding,16,4596,10421
ENSG00000164889,black,566.8609306770842,0.8005594776959389,SLC4A2,protein_coding,7,19318,6522
ENSG00000106153,black,689.4481413050303,0.7998118653885584,CHCHD2,protein_coding,7,5008,51142
ENSG00000123159,black,619.795746498275,0.7997472681514792,GIPC1,protein_coding,19,18373,10755
ENSG00000173171,black,592.5532452842887,0.7996953089130943,MTX1,protein_coding,1,5126,4580
ENSG00000102189,greenyellow,339.1894756222496,0.799380993736844,EEA1,protein_coding,12,158695,8411
ENSG00000126267,black,645.8711947654501,0.7987877697609783,COX6B1,protein_coding,19,10639,1340
ENSG00000143761,black,579.8604840430842,0.7977872122509203,ARF1,protein_coding,1,16552,375
ENSG00000108344,black,632.4160216179073,0.7977323462958757,PSMD3,protein_coding,17,17164,5709
ENSG00000105392,brown,576.3849435282632,0.797372085554209,CRX,protein_coding,19,23885,1406
ENSG00000108510,blue,84.97222443578828,0.7972106761224087,MED13,protein_coding,17,122678,9969
ENSG00000129315,blue,89.83182104937379,0.7971972052741768,CCNT1,protein_coding,12,28435,904
ENSG00000090432,black,607.733383994009,0.7971506460218615,MUL1,protein_coding,1,8712,79594
ENSG00000144395,brown,635.6928066034261,0.7958056632248259,CCDC150,protein_coding,2,123937,284992
ENSG00000024526,pink,22.44931540172658,0.7956828222180989,DEPDC1,protein_coding,1,23070,55635
ENSG00000115275,black,626.6168988917042,0.7952917882215961,MOGS,protein_coding,2,4354,7841
ENSG00000104419,purple,42.9715176051836,0.7947469643801173,NDRG1,protein_coding,8,64852,10397
ENSG00000179761,turquoise,33.21394753887577,0.7947461984797282,PIPOX,protein_coding,17,106704,51268
ENSG00000219626,brown,588.9392585243177,0.7946579576233257,FAM228B,protein_coding,2,93114,375190
ENSG00000144567,black,624.398722612299,0.7945804251222315,FAM134A,protein_coding,2,9255,NA
ENSG00000126432,black,694.857634462837,0.7916327917653311,PRDX5,protein_coding,11,3724,25824
ENSG00000115839,blue,100.49779527283427,0.7912394428681905,RAB3GAP1,protein_coding,2,124130,22930
ENSG00000069431,brown,618.6342362603634,0.7901297123175857,ABCC9,protein_coding,12,144002,10060
ENSG00000125944,greenyellow,251.63544735561075,0.7899971927915597,HNRNPR,protein_coding,1,40566,10236
ENSG00000250771,brown,672.3464079904272,0.7899375916654381,RP11-153M7.3,pseudogene,4,41013,NA
ENSG00000171100,blue,89.52409694610874,0.7898673966514648,MTM1,protein_coding,X,104727,4534
ENSG00000025770,black,626.9329579643575,0.789827480903884,NCAPH2,protein_coding,22,15257,29781
ENSG00000118322,brown,563.4299795313591,0.7894072868442784,ATP10B,protein_coding,5,289095,23120
ENSG00000102100,black,559.8859669898957,0.7892280490823239,SLC35A2,protein_coding,X,8777,7355
ENSG00000130921,brown,573.5351115556614,0.787751102287946,C12orf65,protein_coding,12,25044,NA
ENSG00000104904,black,620.658686783749,0.7872652930457941,OAZ1,protein_coding,19,4003,4946
ENSG00000244187,black,601.8461274303212,0.7866065255789972,TMEM141,protein_coding,9,1903,85014
ENSG00000186010,black,619.9918093586901,0.7864892996522196,NDUFA13,protein_coding,19,17741,51079
ENSG00000119383,black,695.2812279958005,0.785590023834421,PPP2R4,protein_coding,9,37997,NA
ENSG00000115649,black,578.8027450839435,0.7853104089597641,CNPPD1,protein_coding,2,6210,27013
ENSG00000213977,black,651.8570694538084,0.7847059437814754,TAX1BP3,protein_coding,17,5781,30851
ENSG00000166189,black,654.7007403143905,0.7846374472780172,HPS6,protein_coding,10,2646,79803
ENSG00000014216,black,674.780751636716,0.7844854601450554,CAPN1,protein_coding,11,31441,823
ENSG00000171314,black,694.5104148910634,0.783860112654262,PGAM1,protein_coding,10,7282,5223
ENSG00000163527,blue,76.86907908937744,0.7821045420525905,STT3B,protein_coding,3,104983,201595
ENSG00000155096,blue,142.7562912955677,0.7820615168264532,AZIN1,protein_coding,8,67508,51582
ENSG00000158850,black,549.9291141917569,0.7815437125442599,B4GALT3,protein_coding,1,6188,8703
ENSG00000132297,brown,643.7370621806022,0.7811154405160388,HHLA1,protein_coding,8,49674,10086
ENSG00000164292,blue,112.89123711516325,0.7792150603279094,RHOBTB3,protein_coding,5,110862,22836
ENSG00000095787,greenyellow,210.25770421340147,0.7788772517308604,WAC,protein_coding,10,90620,51322
ENSG00000170759,blue,79.40169579718045,0.7784924346212921,KIF5B,protein_coding,10,47422,3799
ENSG00000166595,black,662.8380820130524,0.7784457594590478,FAM96B,protein_coding,16,2368,NA
ENSG00000147123,black,686.8590105434787,0.7779742657822233,NDUFB11,protein_coding,X,3289,54539
ENSG00000105701,black,651.5303593581763,0.7776737027908439,FKBP8,protein_coding,19,12327,23770
ENSG00000122482,greenyellow,202.05657589105132,0.7773087685228576,ZNF644,protein_coding,1,106971,84146
ENSG00000176244,brown,605.6669980083633,0.7770143275764585,ACBD7,protein_coding,10,11254,414149
ENSG00000169905,blue,122.97835203217268,0.7763282634775249,TOR1AIP2,protein_coding,1,37837,163590
ENSG00000146414,brown,687.5790824805731,0.7757773537906074,SHPRH,protein_coding,6,100179,257218
ENSG00000159111,black,639.3205540515629,0.7755963378383248,MRPL10,protein_coding,17,8263,124995
ENSG00000144674,greenyellow,251.842177800727,0.7755782776427343,GOLGA4,protein_coding,3,123575,2803
ENSG00000213411,brown,575.8371892743751,0.7753204505281626,RBM22P2,pseudogene,13,3865,100271871
ENSG00000033100,black,644.2410586794024,0.7748521137546605,CHPF2,protein_coding,7,6334,54480
ENSG00000105792,brown,592.6770647835194,0.7747735277532545,C7orf63,protein_coding,7,65890,NA
ENSG00000013275,black,600.2758001516366,0.774658685808356,PSMC4,protein_coding,19,10437,5704
ENSG00000117308,black,557.2661766161613,0.773619352306923,GALE,protein_coding,1,5183,2582
ENSG00000185634,brown,535.2160607709907,0.7733333390028387,SHC4,protein_coding,15,139710,399694
ENSG00000110955,black,682.8325500821238,0.7731076765337483,ATP5B,protein_coding,12,7840,NA
ENSG00000189350,brown,572.4768023036283,0.7730805979157838,FAM179A,protein_coding,2,104763,NA
ENSG00000197153,salmon,162.88969074875914,0.7729583361975186,HIST1H3J,protein_coding,6,2792,NA
ENSG00000126821,blue,106.59212751576393,0.7725467489994284,SGPP1,protein_coding,14,43826,81537
ENSG00000139644,black,555.9028120839097,0.772108884949368,TMBIM6,protein_coding,12,57210,7009
ENSG00000169762,blue,98.86460929277582,0.771523334705756,TAPT1,protein_coding,4,66906,202018
ENSG00000179262,black,558.758275281991,0.7713592027815455,RAD23A,protein_coding,19,7788,5886
ENSG00000186660,blue,94.91609705711481,0.7707082052401654,ZFP91,protein_coding,11,41932,80829
ENSG00000248458,brown,560.0569616411908,0.7699500653151752,AL139147.1,protein_coding,1,11164,NA
ENSG00000108528,black,609.7827083659985,0.7695860809642998,SLC25A11,protein_coding,17,3122,8402
ENSG00000133104,blue,80.77636119007022,0.7692561968803114,SPG20,protein_coding,13,68543,NA
ENSG00000111305,brown,598.1248773494777,0.7669038218751413,GSG1,protein_coding,12,20126,83445
ENSG00000197579,greenyellow,175.3939409009228,0.7668264999424488,TOPORS,protein_coding,9,12010,10210
ENSG00000151575,brown,537.7945666242211,0.7666896216587589,TEX9,protein_coding,15,201989,374618
ENSG00000105402,black,559.4343225100858,0.7666428244028898,NAPA,protein_coding,19,27604,8775
ENSG00000267906,brown,519.713725359236,0.7659535265433852,AC073333.1,protein_coding,7,381,NA
ENSG00000101448,brown,550.1222866384459,0.7656283166084411,EPPIN,protein_coding,20,10767,57119
ENSG00000149823,black,640.8177414150341,0.7651806132828812,VPS51,protein_coding,11,22537,738
ENSG00000077147,blue,80.85223177505011,0.7646866942206485,TM9SF3,protein_coding,10,69344,56889
ENSG00000206579,brown,550.1095022381834,0.7639796478944271,XKR4,protein_coding,8,439665,114786
ENSG00000146066,black,654.5169382384224,0.7636453533124069,HIGD2A,protein_coding,5,1025,192286
ENSG00000179091,black,643.0424079744021,0.7626404782574574,CYC1,protein_coding,8,2499,1537
ENSG00000112514,black,608.0839525041092,0.7619018324216275,CUTA,protein_coding,6,1876,51596
ENSG00000172845,blue,83.3448019070543,0.7607862811886795,SP3,protein_coding,2,59244,6670
ENSG00000163624,blue,114.8502568230321,0.7606649372435776,CDS1,protein_coding,4,68360,1040
ENSG00000132485,brown,662.350514069733,0.7586174145277363,ZRANB2,protein_coding,1,18007,9406
ENSG00000010610,green,85.97550713397891,0.758318891788522,CD4,protein_coding,12,33951,920
ENSG00000183734,turquoise,41.07796028252172,0.7576968146207039,ASCL2,protein_coding,11,2458,430
ENSG00000138629,black,625.1210452572304,0.7576465346445636,UBL7,protein_coding,15,15206,84993
ENSG00000206530,brown,613.046066147395,0.7543678692915784,WDR52,protein_coding,3,154681,NA
ENSG00000069966,turquoise,50.647945140738976,0.7543612104731268,GNB5,protein_coding,15,70450,10681
ENSG00000038210,brown,668.9791940662662,0.7542338857788544,PI4K2B,protein_coding,4,118452,55300
ENSG00000109572,blue,75.29013789762705,0.7538384762695436,CLCN3,protein_coding,4,111041,1182
ENSG00000126254,black,645.9064164517446,0.7537036190672836,RBM42,protein_coding,19,8657,79171
ENSG00000130726,black,605.6505394981571,0.7532998833031517,TRIM28,protein_coding,19,6632,10155
ENSG00000157540,blue,125.56749139889949,0.75324888525335,DYRK1A,protein_coding,21,151662,1859
ENSG00000225663,black,684.8164159275458,0.7524781719097385,FAM195B,protein_coding,17,10892,NA
ENSG00000244038,black,536.0088372855467,0.7520268184760326,DDOST,protein_coding,1,9731,1650
ENSG00000197238,salmon,210.38453206464823,0.7508708835046883,HIST1H4J,protein_coding,6,374,NA
ENSG00000172900,brown,517.0723916740851,0.7503100364429213,AP002387.1,pseudogene,11,40823,NA
ENSG00000102978,black,558.4636939191466,0.7499547766629997,POLR2C,protein_coding,16,9624,5432
ENSG00000149792,black,564.6017617590795,0.7491309196305499,MRPL49,protein_coding,11,5189,740
ENSG00000204316,black,630.507198484967,0.7487444456845043,MRPL38,protein_coding,17,11176,64978
ENSG00000131143,black,625.3122151483793,0.748723383204156,COX4I1,protein_coding,16,8412,1327
ENSG00000125817,black,640.0549647016809,0.7486999884351379,CENPB,protein_coding,20,2840,1059
ENSG00000182329,brown,549.0757954673666,0.7475779005021509,AC079354.1,protein_coding,2,124608,NA
ENSG00000166225,blue,75.26575302488688,0.7466918001674978,FRS2,protein_coding,12,109434,10818
ENSG00000164967,black,581.4575009328488,0.7465189980010338,RPP25L,protein_coding,9,1619,138716
